Frecuencia	Fecha
2	6/03/2020
4	15/03/2020
4	13/03/2020
7	28/03/2020
8	25/03/2020
10	27/03/2020
3	17/03/2020
6	26/03/2020
4	29/03/2020
4	11/03/2020
4	5/03/2020
15	5/03/2020
3	20/04/2020
10	19/04/2020
18	4/04/2020
7	10/04/2020
3	18/04/2020
2	5/04/2020
36	24/04/2020
6	4/04/2020
1	25/04/2020
6	24/04/2020
5	6/04/2020
3	2/04/2020
3	17/04/2020
2	15/04/2020
8	30/04/2020
2	3/04/2020
2	1/04/2020
2	18/04/2020
2	5/04/2020
2	20/04/2020
2	7/04/2020
7	11/04/2020
1	9/04/2020
4	10/04/2020
2	27/04/2020
5	12/04/2020
8	8/04/2020
4	9/04/2020
6	16/04/2020
1	14/04/2020
6	14/04/2020
4	13/04/2020
3	10/04/2020
3	18/04/2020
2	17/04/2020
9	10/04/2020
2	15/04/2020
3	12/04/2020
1	17/04/2020
2	12/04/2020
2	4/04/2020
2	30/04/2020
8	7/04/2020
1	4/04/2020
3	18/04/2020
5	9/04/2020
3	3/04/2020
4	27/04/2020
15	22/04/2020
7	16/04/2020
5	16/04/2020
7	25/04/2020
2	8/04/2020
7	25/04/2020
1	19/04/2020
6	18/04/2020
2	20/04/2020
1	9/04/2020
5	15/04/2020
4	13/04/2020
4	26/04/2020
7	8/04/2020
2	9/04/2020
4	24/04/2020
18	6/04/2020
3	3/04/2020
4	29/04/2020
4	24/04/2020
4	24/04/2020
2	7/04/2020
3	30/04/2020
7	7/04/2020
5	2/04/2020
4	2/04/2020
4	3/04/2020
6	5/04/2020
6	19/04/2020
7	25/04/2020
3	1/04/2020
6	4/04/2020
6	28/04/2020
3	27/04/2020
1	4/04/2020
2	6/04/2020
3	1/04/2020
5	25/04/2020
4	28/04/2020
2	2/04/2020
8	21/04/2020
4	28/04/2020
8	25/04/2020
2	17/04/2020
3	30/04/2020
12	20/04/2020
2	1/04/2020
6	1/04/2020
3	20/04/2020
2	13/04/2020
6	9/04/2020
3	13/04/2020
2	28/04/2020
2	10/04/2020
10	10/04/2020
5	21/04/2020
4	4/04/2020
1	29/04/2020
1	13/04/2020
2	13/04/2020
7	28/04/2020
4	9/04/2020
10	24/04/2020
12	25/04/2020
3	21/04/2020
6	4/04/2020
1	29/04/2020
7	25/04/2020
2	25/04/2020
2	13/04/2020
6	28/04/2020
2	6/04/2020
3	24/04/2020
2	7/04/2020
25	19/04/2020
7	25/04/2020
2	1/04/2020
9	3/04/2020
2	28/04/2020
4	29/04/2020
2	26/04/2020
10	25/04/2020
6	14/04/2020
3	13/04/2020
1	1/04/2020
9	11/04/2020
5	8/04/2020
7	23/04/2020
2	26/04/2020
4	2/04/2020
2	26/04/2020
3	6/04/2020
19	8/04/2020
8	23/04/2020
19	3/04/2020
6	16/04/2020
5	7/04/2020
1	5/04/2020
2	26/04/2020
3	16/04/2020
3	16/04/2020
2	5/04/2020
1	5/04/2020
1	4/04/2020
1	5/04/2020
5	19/04/2020
2	12/04/2020
3	9/04/2020
1	5/04/2020
4	6/04/2020
3	22/04/2020
4	15/04/2020
5	22/04/2020
3	22/04/2020
6	15/04/2020
2	16/04/2020
1	9/04/2020
5	5/04/2020
4	26/04/2020
3	7/04/2020
2	11/04/2020
7	10/04/2020
3	3/04/2020
1	11/04/2020
2	5/04/2020
2	6/04/2020
1	12/04/2020
1	11/04/2020
4	26/04/2020
3	23/04/2020
7	28/04/2020
2	11/04/2020
1	19/04/2020
6	28/04/2020
2	7/04/2020
3	8/04/2020
16	4/04/2020
5	27/04/2020
2	7/04/2020
3	30/04/2020
4	8/04/2020
2	4/04/2020
15	6/04/2020
2	5/04/2020
7	28/04/2020
3	23/04/2020
