"sem"	"mes"	"freq"
"166"	166	42	0.00405600631578947
"167"	167	42	0.00444274736842105
"168"	168	42	0.0059210547368421
"169"	169	43	0.00673848526315789
"170"	170	43	0.00776530947368421
"171"	171	43	0.00647227368421053
"172"	172	43	0.00647000526315789
"173"	173	44	0.00389864421052632
"174"	174	44	0.00631578105263158
"175"	175	44	0.00969319578947368
"176"	176	44	0.00541475157894737
"177"	177	45	0.00842545368421053
"178"	178	45	0.00574967684210526
"179"	179	45	0.00830246526315789
"180"	180	45	0.0102313705263158
"181"	181	46	0.0140846210526316
"182"	182	46	0.0210228768421053
"183"	183	46	0.0212200168421053
"184"	184	46	0.0287945694736842
"185"	185	47	0.0262280631578947
"186"	186	47	0.0329117094736842
"187"	187	47	0.0223606389473684
"188"	188	47	0.0203110863157895
"189"	189	48	0.0198969610526316
